Threads: [{'140352945166080': 0, '140352953558784': 1}]
['STORE', '0x7fa6700034f8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003490', -1, 0, '107']
['STORE', '0x7fa668003498', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003550', -1, 1, '107']
['STORE', '0x7fa670003558', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700035b0', -1, 1, '107']
['STORE', '0x7fa6700035b8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680034f0', -1, 0, '107']
['STORE', '0x7fa6680034f8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003610', -1, 1, '107']
['STORE', '0x7fa670003618', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003550', -1, 0, '107']
['STORE', '0x7fa668003558', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003670', -1, 1, '107']
['STORE', '0x7fa670003678', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680035b0', -1, 0, '107']
['STORE', '0x7fa6680035b8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6700036d0', -1, 1, '107']
['STORE', '0x7fa6700036d8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670003730', -1, 1, '107']
['STORE', '0x7fa670003738', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003610', -1, 0, '107']
['STORE', '0x7fa668003618', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003670', -1, 0, '107']
['STORE', '0x7fa668003678', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003790', -1, 1, '107']
['STORE', '0x7fa670003798', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700037f0', -1, 1, '107']
['STORE', '0x7fa6700037f8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680036d0', -1, 0, '107']
['STORE', '0x7fa6680036d8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003850', -1, 1, '107']
['STORE', '0x7fa670003858', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003730', -1, 0, '107']
['STORE', '0x7fa668003738', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa6700038b0', -1, 1, '107']
['STORE', '0x7fa6700038b8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003790', -1, 0, '107']
['STORE', '0x7fa668003798', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003910', -1, 1, '107']
['STORE', '0x7fa670003918', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680037f0', -1, 0, '107']
['STORE', '0x7fa6680037f8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003970', -1, 1, '107']
['STORE', '0x7fa670003978', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6700039d0', -1, 1, '107']
['STORE', '0x7fa6700039d8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003850', -1, 0, '107']
['STORE', '0x7fa668003858', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003a30', -1, 1, '107']
['STORE', '0x7fa670003a38', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa670003a90', -1, 1, '107']
['STORE', '0x7fa670003a98', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa6680038b0', -1, 0, '107']
['STORE', '0x7fa6680038b8', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003af0', -1, 1, '107']
['STORE', '0x7fa670003af8', '0x7fa668001ed0', 1, '108']
['STORE', '0x7fa668003910', -1, 0, '107']
['STORE', '0x7fa668003918', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa668003970', -1, 0, '107']
['STORE', '0x7fa668003978', '0x7fa668001ed0', 0, '108']
['STORE', '0x7fa670003b50', -1, 1, '107']
['STORE', '0x7fa670003b58', '0x7fa668001ed0', 1, '108']
