Threads: [{'139844791846656': 0, '139844800239360': 1, '139844800254592': 2}]
['STORE', '0x7f3020002f94', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002f98', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3020002ff0', -1, 1, 'insert_112']
['STORE', '0x7f3020002ff4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020002ff8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004b10', -1, 0, 'insert_112']
['STORE', '0x7f3018004b14', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004b18', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020003050', -1, 1, 'insert_112']
['STORE', '0x7f3020003054', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020003058', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30200030b0', -1, 1, 'insert_112']
['STORE', '0x7f30200030b4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200030b8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004b70', -1, 0, 'insert_112']
['STORE', '0x7f3018004b74', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004b78', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020003110', -1, 1, 'insert_112']
['STORE', '0x7f3020003114', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020003118', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004bd0', -1, 0, 'insert_112']
['STORE', '0x7f3018004bd4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004bd8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020003170', -1, 1, 'insert_112']
['STORE', '0x7f3020003174', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020003178', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004c30', -1, 0, 'insert_112']
['STORE', '0x7f3018004c34', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004c38', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f30200031d0', -1, 1, 'insert_112']
['STORE', '0x7f30200031d4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200031d8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004c90', -1, 0, 'insert_112']
['STORE', '0x7f3018004c94', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004c98', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020003230', -1, 1, 'insert_112']
['STORE', '0x7f3020003234', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020003238', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004cf0', -1, 0, 'insert_112']
['STORE', '0x7f3018004cf4', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004cf8', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020003290', -1, 1, 'insert_112']
['STORE', '0x7f3020003294', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f3020003298', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f30200032f0', -1, 1, 'insert_112']
['STORE', '0x7f30200032f4', '0x7f30180022d0', 1, 'insert_113']
['STORE', '0x7f30200032f8', '0x7f30180022d4', 1, 'insert_114']
['STORE', '0x7f3018004d50', -1, 0, 'insert_112']
['STORE', '0x7f3018004d54', '0x7f30180022d0', 0, 'insert_113']
['STORE', '0x7f3018004d58', '0x7f30180022d4', 0, 'insert_114']
['STORE', '0x7f3020003350', -1, 1, 'insert_112']
['STORE', '0x7f3020003354', '0x7f30180022d0', 1, 'insert_113']
