Threads: [{'139883958915712': 0, '139883958900480': 1, '139883950507776': 2}]
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x7f3938001490', -1, 2, 'createNode_76']
['STORE', '0x7f3938001498', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f3938001438', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3940004ed0', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x7f39380014f0', -1, 2, 'createNode_76']
['STORE', '0x7f39380014f8', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f3938001498', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3940004ed0', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3940004ed8', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3938000ef0', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3938000ef0', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3938000ef8', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x7f3938000ef0', -1, 2, 'createNode_76']
['STORE', '0x7f3938000ef8', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f39380014f8', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3940004f30', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x7f3938001550', -1, 2, 'createNode_76']
['STORE', '0x7f3938001558', -1, 2, 'createNode_77']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3940004f30', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3940004f38', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f3938000ef8', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3938000f50', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x7f39380015b0', -1, 2, 'createNode_76']
['STORE', '0x7f39380015b8', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f3938001558', -1, 2, 'enqueue_104']
['STORE', '0x6f2e08', -1, 2, 'enqueue_105']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_122']
['STORE', '0x7f3938000f50', '0x7f3940003c50', 1, 'dequeue_123']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_124']
['STORE', '0x7f3938000f58', '0x7f3940003c58', 1, 'dequeue_124']
['STORE', '0x6f2e00', -1, 1, 'dequeue_124']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'dequeue_126']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'isEmpty_91']
['STORE', '0x6f2e00', '0x6f2e00', 1, 'front_147']
['STORE', '0x7f3938000fb0', '0x7f3940003c50', 1, 'front_147']
['STORE', '0x7f3938000f50', -1, 2, 'createNode_76']
['STORE', '0x7f3938000f58', -1, 2, 'createNode_77']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_101']
['STORE', '0x6f2e08', '0x6f2e08', 2, 'enqueue_104']
['STORE', '0x7f39380015b8', -1, 2, 'enqueue_104']
